"item_type","total_price"
"Food - Healthy","10379038"
"Beverage - Energy/Protein","10238348"
"Kitchen Supplies","8434526.5"
"Food - Chips","7757407"
"Coffee K-Cups","7496261"
"a. Beverage Sparkling Water","7462502"
"Food - Chocolate","6689505"
"a. Beverage - Soda","6497431.75"
"Beverage - Gatorade","4078008.5"
"Coffee Sweetener","3676606"
"Food - Sweets","3554530"
"Dishware - Cups Hot","3260003.5"
"Beverage - Juice","2639342"
"Beverage Water","2614950"
"Beverage - Iced Tea","2584764.5"
"Gum - Mints","2448854"
"Dishware - Plates","2360375"
"Food - Nuts","2258465.5"
"Coffee Ground","2083344.5"
"Coffee Cream","1628415"
"Food - Snacks","1458197"
"Dishware - Cups Cold","1025245"
"Dishware - Utensils","1006605"
"Coffee Creamer","693904"
"Coffee Hot Cocoa","686768"
"Medicine","664114"
"Dishware - Bowls","637224"
"Beverage - Energy/Protein ","499054"
"Coffee Stirrers","386461"
"Coffee K-Cups Tea","201186"
